Judul Berita,Link Berita,Link Gambar
Kebakaran Gudang di Duren Sawit Jaktim Diduga dari Bakar Sampah,https://www.cnnindonesia.com/nasional/20230530235614-20-956012/kebakaran-gudang-di-duren-sawit-jaktim-diduga-dari-bakar-sampah,https://akcdn.detik.net.id/visual/2023/05/30/ilustrasi-kebakaran-5_169.jpeg?w=280&q=90
Pertamina Respons Kebakaran Truk Tangki BBM di Tol Merak-Tangerang,https://www.cnnindonesia.com/ekonomi/20230528122526-85-954926/pertamina-respons-kebakaran-truk-tangki-bbm-di-tol-merak-tangerang,https://akcdn.detik.net.id/visual/2017/05/24/9cb63941-4815-4bbc-aceb-90d8195589c6_169.jpg?w=280&q=90
"Jenuh Mondok, 3 Santri Bakar Asrama Tahfiz Al-Quran di Makassar",https://www.cnnindonesia.com/nasional/20230525180752-12-954086/jenuh-mondok-3-santri-bakar-asrama-tahfiz-al-quran-di-makassar,https://akcdn.detik.net.id/visual/2020/01/01/70666114-61c6-4935-a290-b5f30fea1405_169.jpeg?w=280&q=90
VIDEO: Detik-detik Gedung Runtuh usai Dilahap Api di Sydney Australia,https://www.cnnindonesia.com/internasional/20230525192518-117-954114/video-detik-detik-gedung-runtuh-usai-dilahap-api-di-sydney-australia,https://akcdn.detik.net.id/visual/2023/05/25/thumbnail-video-16_169.jpeg?w=280&q=90
"Kemhan Rusia Dilaporkan Kebakaran, Moskow Buka Suara",https://www.cnnindonesia.com/internasional/20230525162055-134-954032/kemhan-rusia-dilaporkan-kebakaran-moskow-buka-suara,https://akcdn.detik.net.id/visual/2023/05/04/istana-kremlin_169.jpeg?w=280&q=90
"Kebakaran di Lantai 7 Asrama Polri Jakpus, Tak Ada Korban Jiwa",https://www.cnnindonesia.com/nasional/20230523160032-20-953018/kebakaran-di-lantai-7-asrama-polri-jakpus-tak-ada-korban-jiwa,https://akcdn.detik.net.id/visual/2020/01/01/2ab612fd-1f1a-4633-829b-795f0b6f1a1d_169.jpeg?w=280&q=90
20 Orang Tewas dalam Kebakaran Asrama Sekolah di Guyana,https://www.cnnindonesia.com/internasional/20230523013631-134-952688/20-orang-tewas-dalam-kebakaran-asrama-sekolah-di-guyana,https://akcdn.detik.net.id/visual/2021/07/19/ilustrasi-kebakaran-4_169.jpeg?w=280&q=90
FOTO: Kantor Pos Tertua di Filipina Dilalap Si Jago Merah,https://www.cnnindonesia.com/internasional/20230522114716-108-952350/foto-kantor-pos-tertua-di-filipina-dilalap-si-jago-merah,https://akcdn.detik.net.id/visual/2023/05/22/kebakaran-kantor-pos-di-manila-2_169.jpeg?w=280&q=90
VIDEO: Kantor Pos paling Bersejarah Milik Filipina Terbakar,https://www.cnnindonesia.com/tv/20230522170435-401-952577/video-kantor-pos-paling-bersejarah-milik-filipina-terbakar,https://akcdn.detik.net.id/visual/2023/05/22/thumbnail-video-16_169.jpeg?w=280&q=90
"Rumah Kontrakan 26 Pintu Terbakar di Tambora Jakbar, 1 Orang Terluka",https://www.cnnindonesia.com/nasional/20230521003247-20-951961/rumah-kontrakan-26-pintu-terbakar-di-tambora-jakbar-1-orang-terluka,https://akcdn.detik.net.id/visual/2020/01/01/c3431b93-eae6-4ab9-aa91-1b5280978d08_169.jpeg?w=280&q=90
