Judul Berita,Content,themes,author
Pertamina Respons Kebakaran Truk Tangki BBM di Tol Merak-Tangerang,"PT Pertamina (persero) membenarkan bahwa video viral truk tangki bahan bakar minyak (BBM) yang terbakar di Tol Merak-Tangerang dini hari tadi adalah milik perusahaan. ;Pjs. Area Manager Communication Relation & CSR Pertamina Patra Niaga Subholding Commercial & Trading Regional Jawa Bagian Barat Joevan Yudha Achmad mengatakan truk tangki tersebut mengangkut BBM jenis pertalite sebanyak 16 KL dan biosolar 8 KL. Joevan menyebut insiden terjadi pada pukul 03.30 WIB. ;Ia merinci truk tangki yang mengangkut BBM tersebut bernomor polisi (nopol) B 9138 YB. Lokasi kejadian di jalan Tol Merak-Tangerang, tepatnya KM 55. ;""Tidak ada korban dalam kejadian ini. Api telah berhasil dipadamkan dengan bantuan dari pemadam kebakaran setempat. Penyebab insiden akan diinvestigasi lebih lanjut bekerja sama dengan pihak aparat berwajib,"" katanya dalam keterangan resmi, Minggu (28/5). ;Selain itu, Joevan memastikan insiden tersebut tidak mengganggu pasokan BBM dari Pertamina ke daerah. Ia menegaskan para konsumen tetap bisa mengisi kebutuhan BBM di SPBU Pertamina terdekat. ;""Pertamina memastikan kejadian tersebut tidak mengganggu stok dan pasokan BBM untuk wilayah Banten dan sekitarnya. Kebutuhan BBM masyarakat tetap dapat terpenuhi dari SPBU-SPBU Pertamina terdekat,"" tegas Joevan. ;Kabar soal terbakarnya truk tangki Pertamina itu sempat ramai di media sosial. Beredar video memperlihatkan petugas pemadam kebakaran yang mencoba memadamkan kobaran api tersebut. ;[Gambas:Video CNN] ;",kebakaran,CNN Indonesia
"Jenuh Mondok, 3 Santri Bakar Asrama Tahfiz Al-Quran di Makassar","Polisi tetapkan tiga orang santri sebagai tersangka pembakaran gedung Asrama Tahfiz Al-Quran yang berada di Jalan Hertasning, Kecamatan Rappocini, Makassar, Sulawesi Selatan. ;Kebakaran terjadi pada Kamis (18/5) lalu. ;Kapolrestabes Makassar Kombes Pol Mokhamad Ngajib mengatakan kasus pembakaran tersebut telah dinaikkan statusnya ke tahap penyidikan. ;""Ada tiga tersangka yakni inisial MF, MH dan MA yang melakukan pembakaran rumah tersebut. Dari hasil olah TKP tim forensik disimpulkan kebakaran terjadi karena adanya pembakaran,"" kata Ngajib, Kamis (25/5). ;Ketiga tersangka dalam kasus pembakaran tersebut memiliki peran masing-masing yakni, MH berperan sebagai membakar sapu ijuk, kemudian MA dan MF bertugas membeli bensin untuk membakar gedung sekolahnya dan MA membakar meja dan pintu masuk yang berada di lantai 3. ;""Kejadian kebakaran di sekolah terjadi sebanyak tiga kali. Pertama tanggal 9, kedua, 17 dan 18 Mei. Kejadian terakhir itu pada tanggal 18 Mei yang mengakibatkan kebakaran besar,"" ungkapnya. ;Pada tanggal 18 Mei itu, kata Ngajib, salah satu tersangka sengaja membuang puntung rokoknya ke arah sebuah pintu yang berada di lantai 4, sehingga mengakibatkan kebakaran yang cukup besar. ;""Puntung rokok itu menyala mengakibatkan kebakaran. Kalau kejadian sebelumnya tanggal 9 Mei tersangka membakar dapur dan 17 Mei tersangka menuangkan bensin ke atas meja,"" bebernya ;Kemudian dari hasil penyidikan tersebut disimpulkan bahwa kebakaran itu dilakukan oleh ketiga orang santri dengan sengaja sehingga ditetapkan sebagai tersangka. ;""Motifnya tersangka melakukan pembakaran karena merasa jenuh dibatasi untuk keluar dari asrama. Tiga orang ini adalah santri dari rumah Tahfiz tersebut,"" pungkasnya. ;Akibatnya ketiga santri tersebut dijerat dengan Pasal 187 dan atau 188 KUHP juncto Pasal 55, Pasal 56 dan Pasal 64 KUHP dengan ancaman hukuman 12 tahun penjara. ;Sebelumnya, satu gedung sekolah asrama Tahfiz Al-Quran hangus dilalap si jago merah di Jalan Hertasning, Kecamatan Rappocini, Makassar, Sulawesi Selatan. Diduga kebakaran tersebut dipicu akibat arus pendek listrik dari salah satu ruangan. ;""Semua ruangan di dalam ludes, tapi penghuni rumah cepat dievakuasi. Penyebab dugaan sementara arus pendek listrik,"" kata Kepala Dinas Damkar Makassar, Hasanuddin, Kamis (18/5). ;
 ;Dinas Pemadam Kebakaran (Damkar) Makassar mengerahkan belasan unit armadanya untuk memadamkan kobaran api sehingga tidak menjalar ke rumah warga lainnya. ;""Kita kerahkan total armada tadi ada 11 unit dan saat ini masih proses pendinginan. Kita juga tidak ada kendala dalam proses pemadaman,"" ungkapnya. ;Kejadian kebakaran tersebut bukan pertama kalinya terjadi, kata Hasanuddin bahwa peristiwa serupa pernah terjadi beberapa minggu lalu. ;""Dua minggu yang lalu terjadi kebakaran yang berasal dari dapur, akibat sebuah kompor. Hari ini penyebabnya masih diinvestigasi namun diduga akibat arus pendek listrik,"" jelasnya.",kebakaran,CNN Indonesia
"Kemhan Rusia Dilaporkan Kebakaran, Moskow Buka Suara","Kementerian Pertahanan Rusia dilaporkan mengalami kebakaran. ;Mengutip layanan darurat, kantor berita Rusia, TASS, melaporkan kobaran api terjadi di salah satu balkon gedung Kemhan di pusat Moskow. ;""Kebakaran terjadi di gedung Kementerian Pertahanan di Frunzenskaya Naberezhnaya,"" bunyi laporan TASS pada Kamis (25/5). ;Namun, tak berapa lama, TASS melaporkan bahwa pejabat lokal menegaskan pihaknya tidak mendeteksi ada kebakaran di kementerian tersebut. ;""Keberadaan api belum dikonfirmasi, karena tidak ada api yang terdeteksi oleh pemadam kebakaran pada saat kedatangan. Juga tidak ada informasi tentang korban,"" bunyi laporan lanjutan TASS mengutip Kementerian Situasi Darurat Rusia seperti dikutip CNN. ;[Gambas:Video CNN] ;Sementara itu, sebuah video yang dilihat CNN memperlihatkan asap membumbung tinggi mengelilingi gedung Kementerian Pertahanan Rusia. ;Dalam video itu, terdengar seorang wanita berkata: ""bau terbakar sangat menyengat."" ;Laporan kebakaran ini terjadi kala Rusia terus menerus dihantam berbagai upaya penyerangan di dalam negeri. ;Awal bulan ini, militer Rusia menembak jatuh dua drone yang terbang di atas Istana Kepresidenan Kremlin dan diduga hendak menargetkan Presiden Vladimir Putin. ;Sementara itu, awal pekan ini, kelompok anti-Putin di perbatasan dekat Ukraina menyerang sejumlah bangunan pemerintah dan rumah warga di Belgorod. ;Rusia menuding kelompok anti-Putin itu diperintah Ukraina. Namun, Kyiv membantah terlibat serangan itu meski mengakui bahwa dua kelompok anti-Putin tersebut merupakan sekutunya.",kebakaran,CNN Indonesia
"Kebakaran di Lantai 7 Asrama Polri Jakpus, Tak Ada Korban Jiwa","Kebakaran terjadi di lantai 7 Asrama Polri yang berlokasi di Menteng, Jakarta Pusat, Selasa (23/5) ini. Polisi menyebut tak ada korban dalam insiden ini. ;""Iya (kebakaran) tadi,"" kata Kapolres Metro Jakarta Pusat Kombes Komarudin saat dihubungi. ;Komarudin memastikan api sudah padam. Dia mengatakan kebakaran itu berasal dari sebuah kasur bekas di asrama tersebut. ;Ia menuturkan pemadaman dilakukan alat pemadam api ringan (APAR) dan dibantu oleh pihak pemadam kebakaran. ;""Sudah bisa langsung dipadamkan, hanya kasur bekas yang dipadamkan di dekat tangga,"" ucap Komarudin. ;""Enggak ada (korban jiwa),"" sambungnya. ;Komarudin menyebut saat ini polisi masih mendalami penyebab kebakaran di Asrama Polri tersebut. ;",kebakaran,CNN Indonesia
20 Orang Tewas dalam Kebakaran Asrama Sekolah di Guyana,"Sedikitnya 20 orang tewas dan beberapa lainnya terluka dalam kebakaran asrama sekolah mengerikan yang terjadi di negara Guyana, Amerika Selatan. ;""Dengan sangat sedih kami menyampaikan soal kejadian memilukan tentang kebakaran di asrama di sekolah Menengah Mahdia. Kami telah kehilangan banyak jiwa cantik akibat kebakaran. Jumlah korban meninggal mencapai 20 orang dan lainnya teruka,"" kata pernyataan Departemen Informasi Publik Guyana seperti dikutip dari CNN.com, Selasa (23/5). ;Sayang, mereka tak merinci apakah para korban adalah siswa, guru, atau anggota staf lainnya. ;Tetapi mereka menambahkan bahwa para pejabat bersiap untuk mengangkut tujuh jenazah anak ke ibu kota Guyana Georgetown untuk menjalani perawatan medis. ;Pemerintah Guyana sebelumnya memobilisasi evakuasi medis skala penuh setelah kebakaran terjadi. ;Dalam pernyataan awal, pemerintah mengatakan kabinet sedang diberi pengarahan dan terus diperbarui tentang kebakaran mengerikan di asrama di Mahdia. ;Namun, cuaca buruk memperumit respons awal pemerintah. ;""Pikiran dan doa kami bersama anak-anak kami dan keluarga mereka saat ini,"" tambah pernyataan pemerintah itu. ;",kebakaran,CNN Indonesia
VIDEO: Kantor Pos paling Bersejarah Milik Filipina Terbakar,Kebakaran besar melanda gedung Kantor Pos Pusat Manila yang bersejarah pada Minggu malam. ;Tim pemadam berjuang selama 7 jam sebelum api akhirnya bisa dikendalikan. ;Menurut Biro Perlindungan Kebakaran setempat kebakaran terjadi sekitar pukul 23.45 pada Minggu malam.Petugas menaikkan status kebakaran ke level tertinggi hingga pukul 06.00 Senin pagi. ;Dalam pantauan udara pada Senin pagi tampak asap hitam masih mengepul di udara setelah api berhasil dijinakkan. ;Sampai saat ini otoritas Filipina belum memberikan informasi detail terkait penyebab kebakaran yang menghanguskan kantor pos yang dibangun pada tahun 1926 silam ini.,kebakaran,CNN Indonesia
"Rumah Kontrakan 26 Pintu Terbakar di Tambora Jakbar, 1 Orang Terluka","Rumah kontrakan yang terdiri dari 26 pintu di Jalan Profesor Dokter Latumeten, Tambora, Jakarta Barat, terbakar pada Sabtu (20/5). Akibat kebakaran ini, satu orang terluka. ;Petugas call center pemadam kebakaran Jakarta Barat,Irfan, mengatakan bahwa pihak berwenang menerima laporan kebakaran pukul 20.56 WIB. ;Mereka mengerahkan 15 mobil pemadam kebakaran ke lokasi. Api kemudian berhasil dipadamkan satu jam kemudian. ;""Sudah beres [pemadaman], sudah selesai. Selesai di 21.58, laporan masuk 20.56,"" ujar Irfan kepada Detikcom. ;Meski demikian, Irfan mengungkap satu orang terluka akibat kebakaran ini. ;""Ada satu luka ringan,"" katanya. ;Irfan mengatakan bahwa kebakaran diduga terjadi akibat overload arus listrik. ;""Rumah kontrakan, ada 26 kontrakan, kan berjejer tuh 26 pintu. Untuk sementara [diduga] overload listrik,"" tutur dia.",kebakaran,CNN Indonesia
Kebakaran Pabrik Plastik Jakbar Tak Ganggu Penerbangan Bandara Soetta,"Pihak Bandara Soekarno-Hatta menyatakan kebakaran pabrik plastik di Kalideres, Jakarta Barat tak mengganggu operasional penerbangan. ;""Kalau untuk dampak terhadap bandara alhamdulillah enggak terdampak ya. Operasional di bandara berjalan baik dan lancar,"" kata Senior of Branch Communication dan Legal Bandara Soetta, M Holik Muardi saat dihubungi, Jumat (19/5). ;""Untuk penerbangan juga masih bagus, tidak berdampak. Jadi operasional bisa berjalan dengan baik dan lancar ya,"" sambungnya. ;Terpisah, Kepala Seksi Operasi Suku Dinas Gulkarmat Jakarta Barat, Syarifudin menyampaikan pihaknya telah berhasil melokalisir api dan saat ini dalam proses pendinginan. ;""Sudah dilokalisir pukul 14.55 WIB, cuma tinggal penuntasannya saja,"" ujarnya. ;Sebelumnya, kebakaran terjadi di sebuah pabrik plastik yang berlokasi di Jalan Gaga Rawa Kompeni, Kelurahan Kamal, Kecamatan Kalideres, Jakarta Barat, Jumat (19/5). ;""Objek info awal pabrik plastik,"" kata Kepala Seksi Operasi Suku Dinas Penanggulangan Kebakaran dan Penyelamatan (Gulkarmat) Jakarta Barat, Syarifudin dalam keterangannya. ;Syarifudin mengatakan kebakaran itu pertama kali dilaporkan oleh warga ke pihak pemadam kebakaran melalui sambungan telepon sekitar pukul 13.23 WIB. ;Operasi pemadaman pun mulai dilakukan sekitar pukul 13.38 WIB. Syarifudin menyebut sebanyak 15 unit mobil pemadam kebakaran dan 75 personel dikerahkan ke lokasi untuk menjinakkan Si Jago Merah. ;",kebakaran,CNN Indonesia
"Pabrik Plastik di Jakbar Kebakaran, 15 Unit Mobil Damkar Diterjunkan","Kebakaran terjadi di sebuah pabrik plastik yang berlokasi di Jalan Gaga Rawa Kompeni, Kelurahan Kamal, Kecamatan Kalideres, Jakarta Barat, Jumat (19/5). ;""Objek info awal pabrik plastik,"" kata Kepala Seksi Operasi Suku Dinas Penanggulangan Kebakaran dan Penyelamatan (Gulkarmat) Jakarta Barat Syarifudin dalam keterangannya. ;Syarifudin mengatakan kebakaran itu dilaporkan warga ke pihak pemadam kebakaran melalui sambungan telepon sekitar pukul 13.23 WIB. ;Upaya pemadaman api mulai dilakukan sekitar pukul 13.38 WIB. Ia menyebut sebanyak 15 unit mobil pemadam kebakaran dan 75 personel dikerahkan ke lokasi untuk menjinakan si jago merah. ;Informasi soal peristiwa kebakaran ini turut diunggah di akun Instagram @humasjakfire. Dalam foto yang diunggah, terlihat api masih menyala di lokasi kebakaran tersebut. ;Kemudian, dalam foto lainnya yang diunggah akun itu, juga terlihat asap hitam membubung tinggi dari lokasi kebakaran tersebut. ;""Jumat (19 Mei 2023) Terjadi kebakaran yang dilaporkan melanda bangunan pabrik di Jl. Gaga Rawa Kompeni, 002/004, Kel. Kamal, Kec. Kalideres, Jakarta Barat pada siang ini,"" demikian keterangan dalam unggahan itu. ;[Gambas:Instagram] ;",kebakaran,CNN Indonesia
Rumah Tahfiz Al Quran di Makassar Kebakaran Gegara Korsleting,"Satu gedung sekolah asrama Tahfiz Al Quran hangus kebakaran dilalap si jago merah di Jalan Hertasning, Kecamatan Rappocini, Makassar, Sulawesi Selatan pada Kamis (18/5). ;Diduga kebakaran tersebut dipicu akibat arus pendek listrik dari salah satu ruangan atau korsleting ;""Semua ruangan di dalam ludes, tapi penghuni rumah cepat dievakuasi. Penyebab dugaan sementara arus pendek listrik,"" kata Kepala Dinas Damkar Makassar, Hasanuddin, Kamis (18/5). ;Dinas Pemadam Kebakaran (Damkar) Makassar mengerahkan belasan unit armadanya untuk memadamkan kobaran api sehingga tidak menjalar ke rumah warga lainnya. ;""Kita kerahkan total armada tadi ada 11 unit dan saat ini masih proses pendinginan. Kita juga tidak ada kendala dalam proses pemadaman,"" ungkapnya. ;Kejadian kebakaran tersebut bukan pertama kalinya terjadi, kata Hasanuddin bahwa peristiwa serupa pernah terjadi beberapa minggu lalu. ;""Dua minggu yang lalu terjadi kebakaran yang berasal dari dapur, akibat sebuah kompor. Hari ini penyebabnya masih diinvestigasi namun diduga akibat arus pendek listrik,"" jelasnya. ;Sementara itu, Kapolrestabes Makassar, Kombes Pol Mokhamad Ngajib menuturkan bahwa pihaknya akan melakukan penyelidikan dan olah TKP setelah api padam. ;""Kita tunggu dulu apinya padam dan dingin, terus kita police line. Kita akan lanjutkan olah TKP,"" kata Ngajib di lokasi.",kebakaran,CNN Indonesia
